대번호,소번호,문장,훼손/파손,분실,배송지연,오배송,"기타(임의반품, 불친절, 집하거부 등)",관련없음
1,1, 2013. 11. 4. 신청인은 지인에게 선물하기 위해 햅쌀 20kg을 피신청인을 통해 선불로 택배 발송함.,,,,,,y
1,2," 2013. 11. 8. 상하차 도중 포장이 훼손되어 배송불가하다는 연락을 받아, 피신청인의 택배기사가 훼손된 것과 동일한 물품을 구입하여 재발송하기로하였으나 11. 20. 경까지 이행하지 않음",y,,,,,
1,3,신청인은 청원군 햅쌀 20kg 배송 이행과 함께 두 달 이상 지연된 것에 대한 배상을 요구함.,,,,,,y
1,4,"
* 운송장번호 : 8400  1322  3033",,,,,,y
2,1,"신청인은 2013.11. 9. 피신청인 동대문 도매업체를 통하여 의류를 주문하고 당일 피신청인이 운영하는 택배업체를 이용해 발송된다고 하니 현금 114,000원을 지불하였음.",,,,,,y
2,2," 그런데 며칠이 지나도 동 제품이 도착하지 아니하여 같은 해 11. 13. 신청인이 문의한바, 피신청인은 물건이 많아 찾을 수가 없다고 답변함.",,y,,,,
2,3,이후 신청인이 11. 18. 재연락해보니 피신청인은 택배 배송 중 동 제품이 분실된 것 같다고 함에도 책임을 질 수는 없다고 함.,,y,,,,
2,4,"이에 신청인은 피신청인에게 동 제품의 택배 배송 중 분실된 것이므로 구입가격 114,000원을 보상하여 줄 것을 요구함.",,y,,,,
2,5,* 운송장번호: 366412318861,,,,,,y
3,1,"신청인은 2013.11.26. 피신청인(한진택배)에게 택배 두 박스(김치,참치,겨울옷) 배송을 의뢰",,,,,,y
3,2,"* 운송장번호: 301283149764, 불만접수번호: 331304, 352824",,,,,,y
3,3,익일 인수자(신청인의 아들) 부재로 인해 피신청인에게 집 앞 편의점에 맡겨달라고 요청,,,,,,y
3,4,"배송 당일 오후 인수자가 편의점을 방문하였으나 배송물건이 없고, 물건을 받은 사람도 확인하지 못하여 피신청인에게 연락을 시도하였으나 되지 않음 ",,y,,,,
3,5,"배송 다음날 택배기사에게 연락이 와 편의점에 물건을 맡겨났으나, 누구에게 맡겨놓았는지는 확인을 받지 못함",,y,,,,
3,6,"신청인은 피신청인의 콜센터와 영업점에 연락을 취하였으나 본 건에 대한 보상 등 관련 조치 사항이 없어, 이에 부당하다고 생각하여 피신청인에게 해당 사건에 대한 배상을 요구함",,,,,,y
4,1,"신청인은 2013.12.9. 피신청인(로젠택배)에게 한약을 택배로 발송했으나, 2013.12.10 피신청인으로부터 제품이 운송중 파손되고 되었다고 통보받음",y,,,,,
4,2,"(운송장번호:71538180265, 물품가격:490,000원 기재) ",,,,,,y
4,3,"2013.12.11 택배기사가 물품을 가지고 신청인을 방문하여, 보상처리를 위한 사고접수를 하고 파손물품을 가지고 감",y,,,,,
4,4,2013.12.16 남송파 지점 담당자 김진희 팀장에게 연락이 와 17일 오후 4시까지 연락을 주겠다고 함,,,,,,y
4,5,"2013.12.17 택배기사가 신청인을 방문하여 배상액(100,000원)을 제안하였으나 신청인이 거절하자",,,,,,y
4,6,2013.12.18 피신청인 심사담당자(조을상 대리)는 정당한 배상액을 제시하였으며 응하지 않을 경우 배상이 불가하다고 함,,,,,,y
4,7,이에 신청인은 피신청인(로젠택배)에게 정당한 배상을 요구,,,,,,y
5,1,o 신청인은 지인으로부터 피신청인의 택배서비스를 이용하여 귤 2박스를 보냈다는(송장번호:301008985900) 연락을 받은 후,,,,,,y
5,2,2013.12.13. 택배물을 수령한 결과 배송의뢰한 귤 2박스 중 1박스만 배송이 되어 같은 해 12. 17. 피신청인에게 나머지 1박스 소재의 확인을 요청한 바 담당직원이 분실된것 같다고 하여 어떻게 처리를 해줄껀지 문의하니 귤 1박스 가격과 택배비에 대해 보상을 해준다함.,,y,,,,
